pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE16252l	JAK-STAT	primary PBMCs	BTO:0001025	treated with 0.006 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeand concentration series	GSE16252	log	GPL8601
GSE16253a	JAK-STAT	primary monocytes	BTO:0000876	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253b	JAK-STAT	primary monocytes	BTO:0000876	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253c	JAK-STAT	primary monocytes	BTO:0000876	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253d	JAK-STAT	primary B cells	BTO:0000776	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253e	JAK-STAT	primary B cells	BTO:0000776	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253f	JAK-STAT	primary B cells	BTO:0000776	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253g	JAK-STAT	primary CD4+ T cells	BTO:0002417	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253h	JAK-STAT	primary CD4+ T cells	BTO:0002417	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253j	JAK-STAT	primary NK cells	BTO:0000914	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253k	JAK-STAT	primary NK cells	BTO:0000914	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253l	JAK-STAT	primary NK cells	BTO:0000914	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253m	JAK-STAT	primary CD8+ T cells	BTO:0000782	treated with 0.6 pM IFNg	activating	0.5 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253n	JAK-STAT	primary CD8+ T cells	BTO:0000782	treated with 0.6 pM IFNg	activating	1 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16253o	JAK-STAT	primary CD8+ T cells	BTO:0000782	treated with 0.6 pM IFNg	activating	4 h	1 replicate, timerespective control, part of timeseries, different cell lines	GSE16253	log	GPL8601
GSE16385	JAK-STAT	primary macrophage	BTO:0000801	treated with IL-4	activating	4 h	1 replicate, respective timecontrol	GSE16385	normalized	GPL570
GSE16450a	JAK-STAT	immature BE(2)-C neuroblastoma cell line	BTO:0000932	treated with IFNa-A/D	activating	6 h	3 replicates	GSE16450	none	GPL570
GSE16450b	JAK-STAT	mature BE(2)-C neuroblastoma cell line	BTO:0000932	treated with IFNa-A/D	activating	6 h	3 replicates	GSE16450	none	GPL570
GSE16755	JAK-STAT	macrophages	BTO:0000801	treated with IFNa	activating	unknown	3 replicates	GSE16755	none	GPL570
GSE19082a	JAK-STAT	HMEC (human microvascular endothelial cells)	BTO:0002178	treated with IFN-gamma 1 ng/ml (respective timecontrol)	activating	3 h	4 replicates each two different treatments	GSE19082	nolog	GPL6104
GSE19082b	JAK-STAT	HMEC (human microvascular endothelial cells)	BTO:0002178	treated with IL-6 50 U/ml  (respective timecontrol)	activating	1 h	4 replicates each, two different treatments	GSE19082	nolog	GPL6104
GSE1925a	JAK-STAT	primary human CD14+ macrophages Pool1	BTO:0000801	treated with IFN-gamma	activating	3 h	NA	GSE1925	log	GPL8300
GSE1925b	JAK-STAT	primary human CD14+ macrophages Pool2	BTO:0000801	treated with IFN-gamma	activating	3 h	NA	GSE1925	log	GPL8300
GSE1925c	JAK-STAT	primary human CD14+ macrophages Pool3	BTO:0000801	treated with IFN-gamma	activating	3 h	NA	GSE1925	log	GPL8300
GSE20198a	JAK-STAT	activated cord blood CD4+ T cells	BTO:0004053	treated with IFNa	activating	2 h	1 replicate, part of timeseries	GSE20198	none	GPL96
GSE20198b	JAK-STAT	activated cord blood CD4+ T cells	BTO:0004053	treated with IFNa	activating	6 h	1 replicate, part of timeseries	GSE20198	none	GPL96
GSE20272a	JAK-STAT	SKOV-3 ovarian cancer cell line	BTO:0000948	treated with IL-6	activating	1 h	1 replicate, 2 different cell lines	GSE20272	none	GPL570
GSE20272b	JAK-STAT	Caov-3 ovarian cancer cell line	BTO:0000814	treated with IL-6	activating	1 h	1 replicate, 2 different cell lines	GSE20272	none	GPL570
GSE21760a	JAK-STAT	HeLa cells	BTO:0000567	treated with IFNg	activating	2 h	1 replicate, part of timeseries	GSE21760	normalized	GPL570
GSE21760b	JAK-STAT	HeLa cells	BTO:0000567	treated with IFNg	activating	4 h	1 replicate, part of timeseries	GSE21760	normalized	GPL570
GSE21760c	JAK-STAT	HeLa cells	BTO:0000567	treated with IFNg	activating	6 h	1 replicate, part of timeseries	GSE21760	normalized	GPL570
GSE22325a	JAK-STAT	HUVECs	BTO:0001949	treated with 100 U/ml IL-3	activating	4 h	1 replicate each, timeresolved control	GSE22325	log	GPL570
GSE22325b	JAK-STAT	HUVECs	BTO:0001949	treated with 100 U/ml IL-6	activating	4 h	1 replicate each, timeresolved control	GSE22325	log	GPL570
GSE23307a	JAK-STAT	primary B cells	BTO:0000776	treated with IFN-b	activating	3 h	1 replicate each, respective timecontrol, 2 individuals	GSE23307	normalized	GPL6104
GSE23307b	JAK-STAT	primary B cells	BTO:0000776	treated with IFN-b	activating	3 h	1 replicate each, respective timecontrol, 2 individuals	GSE23307	normalized	GPL6104
GSE23307c	JAK-STAT	primary monocytes	BTO:0000876	treated with IFN-b	activating	3 h	1 replicate each, respective timecontrol, 2 individuals	GSE23307	normalized	GPL6104
GSE23591a	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	0.5 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591b	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	1 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591c	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	1.5 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591d	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	2 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591e	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	3 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591f	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	4 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591g	JAK-STAT	L1236 lymphoma derived cell line	BTO:0000104	treated with 40 ng/ml IL-13	activating	6 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591h	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	0.5 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591i	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	1 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591j	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	1.5 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591k	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	2 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591l	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	3 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591m	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	4 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE23591n	JAK-STAT	MedB1 lymphoma derived cell line	BTO:0000104	treated with 20 ng/ml IL-13	activating	6 h	1 replicate, timeresolved controls, part of timeseries	GSE23591	log	GPL6244
GSE24403a	JAK-STAT	dermal fibroblasts	BTO:0001255	treated with 50 nM IL-13	activating	2 h	3 replicates control, 1 replicate treatment, part of timeseries	GSE24403	log	GPL6480
GSE24403b	JAK-STAT	dermal fibroblasts	BTO:0001255	treated with 50 nM IL-13	activating	4 h	3 replicates control, 1 replicate treatment, part of timeseries	GSE24403	log	GPL6480
GSE24409a	JAK-STAT	dermal fibroblasts	BTO:0001255	treated with 50 nM IL-4	activating	2 h	3 replicates control, 1 replicate treatment, part of timeseries	GSE24409	log	GPL6480
GSE24409b	JAK-STAT	dermal fibroblasts	BTO:0001255	treated with 50 nM IL-4	activating	4 h	3 replicates control, 1 replicate treatment, part of timeseries	GSE24409	log	GPL6480
GSE26949	JAK-STAT	peripheral blood EPCs/CACs	BTO:0003494	treated with IFNa	activating	6 h	6 replicates each	GSE26949	log	GPL11670
GSE26951	JAK-STAT	bone marrow EPCs	BTO:0004850	treated with IFNa	activating	6 h	5 replicates each	GSE26951	log	GPL11670
GSE31193	JAK-STAT	primary hepatocytes	BTO:0000575	treated with 10 U/ml IFN-a	activating	6 h	3 replicates	GSE31193	none	GPL570
GSE31264	JAK-STAT	primary hepatocytes	BTO:0000575	treated with 10 U/ml IFN-a	activating	6 h	1 replicate	GSE31264	none	GPL570
GSE3183	JAK-STAT	A549 (Human bronchial cell line)	BTO:0000018	treated with IL-13	activating	4 h	3 replicates each	GSE3183	log	GPL96
GSE33264a	JAK-STAT	Calu-3 cells	BTO:0002750	treated with 1000 U/ml IFNa	activating	3 h	3 replicates each, part of timeseries with 2 treatment conditions	GSE33264	normalized	GPL4133
GSE33264b	JAK-STAT	Calu-3 cells	BTO:0002750	treated with 1000 U/ml IFNa	activating	6 h	3 replicates each, part of timeseries with 2 treatment conditions	GSE33264	normalized	GPL4133
GSE33264c	JAK-STAT	Calu-3 cells	BTO:0002750	treated with 500 U/ml IFNg	activating	3 h	3 replicates each, part of timeseries with 2 treatment conditions	GSE33264	normalized	GPL4133
GSE33264d	JAK-STAT	Calu-3 cells	BTO:0002750	treated with 500 U/ml IFNg	activating	6 h	3 replicates each, part of timeseries with 2 treatment conditions	GSE33264	normalized	GPL4133
GSE3920a	JAK-STAT	HUVECs	BTO:0001949	treated with IFNa	activating	5 h	5 replicates	GSE3920	none	GPL96
GSE3920b	JAK-STAT	HUVECs	BTO:0001949	treated with IFNb	activating	5 h	2 replicates	GSE3920	none	GPL96
GSE3920c	JAK-STAT	HUVECs	BTO:0001949	treated with IFNg	activating	5 h	3 replicates	GSE3920	none	GPL96
GSE3920d	JAK-STAT	fibroblasts	BTO:0000452	treated with IFNa	activating	5 h	3 replicates	GSE3920	none	GPL96
GSE3920e	JAK-STAT	fibroblasts	BTO:0000452	treated with IFNg	activating	5 h	2 replicates	GSE3920	none	GPL96
GSE440	JAK-STAT	Foreskin keratinocytes	BTO:0001113	treated with IFN-gamma (respective timecontrol)	activating	1 h	2 Controls existent on the web page only 1 in the whole  download script just taken that one	GSE440	log	GPL8300
GSE4885a	JAK-STAT	HepG2 hepatocellular carcinoma cells	BTO:0000599	treated with IL-6	activating	1 h	2 replicates, part of timeseries	GSE4885	none	GPL96
GSE4885b	JAK-STAT	HepG2 hepatocellular carcinoma cells	BTO:0000599	treated with IL-6	activating	4 h	2 replicates, part of timeseries	GSE4885	none	GPL96
GSE5542a	JAK-STAT	A549 cell line	BTO:0000018	treated with 500U Infergen (Interferon type 1)	activating	6 h	4 replicates	GSE5542	none	GPL96
GSE5542b	JAK-STAT	A549 cell line	BTO:0000018	treated with 500U IFN-g1b	activating	6 h	4 replicates	GSE5542	none	GPL96
GSE8059	JAK-STAT	NK (Primary Natural Killer cells)	BTO:0000914	treated with IL-2	activating	2 h	NA	GSE8059	log	GPL570
GSE8515	JAK-STAT	human monocyte-derived macrophages	BTO:0000801	treated with IL-6	activating	4 h	5 replicates each	GSE8515	log	GPL96
GSE8685a	JAK-STAT	Sez-4 cell line	BTO:0001586	treated with 200U IL-2	activating	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSE8685	none	GPL570
GSE8685b	JAK-STAT	Sez-4 cell line	BTO:0001586	treated with 20ng/ml IL-15	activating	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSE8685	none	GPL570
GSE8685c	JAK-STAT	Sez-4 cell line	BTO:0001586	treated with 100ng/ml IL-21	activating	4 h	3 replicates, different IL treatments, after 16h IL2 starvation	GSE8685	none	GPL570
GSE8687	JAK-STAT	Sez-4	BTO:0001586	starved of IL-2 and activated with IL-2	activating	4 h after stimulation (16 h IL-2 pre-starvation)	NA	GSE8687	log	GPL570
GSE9481	JAK-STAT	side population of ovarian cancer	BTO:0001023	treated with 1000 U/ml IFNa	activating	5 h	2 replicates	GSE9481	none	GPL570
GSE10088a	MAPK	SkMel-28 cells	BTO:0002130	treated with PD0325901, MEK inhibitor	inhibiting	2 h	1 replicate each, mainly influencing MAPKs	GSE10088	none	GPL571
GSE10088b	MAPK	SkMel-28 cells	BTO:0002130	treated with PD0325901, MEK inhibitor	inhibiting	8 h	1 replicate each, mainly influencing MAPKs	GSE10088	none	GPL571
GSE12764	MAPK	MCF10A cells	BTO:0001939	transfected with MEK1	activating	24 h	6 replicates each, mostly activates MAPKs	GSE12764	none	GPL570
GSE14934b	MAPK	HEK-HT (kidney)	BTO:0000007	Ras (G12V,T35S) activation mutants	activating	not specified	mutants said to be mostly activating Raf	GSE14934	log	GPL571
GSE17939	MAPK	HUVECs	BTO:0001949	transfected with constitutive active MEK5D	activating	40 h	3 replicates each, mainly activating MAPKs	GSE17939	none	GPL570
GSE3542b	MAPK	MCF-7 (breast cancer cells)	BTO:0000093	co-transfected with constituitively active MEK	activating	not specified	two controls empty vector control taken	GSE3542	nolog	GPL96
GSE3542c	MAPK	MCF-7 (breast cancer cells)	BTO:0000093	co-transfected with constituitively active Raf	activating	not specified	two controls empty vector control taken	GSE3542	nolog	GPL96
GSE6521a	MAPK	MCF-7 breast cancer cells	BTO:0000093	Treatment with U0126 (MEK inhibitor)	inhibiting	1.5 h	no stimulation	GSE6521	log	GPL570
GSE10316	NFkB	monocyte-derived dendritic cells	BTO:0002900	treated with LPS 1 �g/ml	activating	4 h	immature cells	GSE10316	log	GPL570
GSE10316a	NFkB	monocyte derived dendritic cells	BTO:0002900	treated with 1 µg/ml LPS	activating	4 h	1 replicate each	GSE10316	none	GPL570
GSE10316b	NFkB	monocyte derived dendritic cells	BTO:0002900	treated with 50 µg/ml polyI:C	activating	4 h	1 replicate each	GSE10316	none	GPL570
GSE14000a	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE14000	none	GPL570
GSE14000b	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE14000	none	GPL570
GSE14000c	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE14000	none	GPL570
GSE14000d	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE14000	none	GPL570
GSE14419a	NFkB	primary macrophages	BTO:0000801	treated with zymosan A	activating	3 h	1 replicate each, 4 donors	GSE14419	none	GPL571
GSE14419b	NFkB	primary macrophages	BTO:0000801	treated with zymosan A	activating	3 h	1 replicate each, 4 donors	GSE14419	none	GPL571
GSE14419c	NFkB	primary macrophages	BTO:0000801	treated with zymosan A	activating	3 h	1 replicate each, 4 donors	GSE14419	none	GPL571
GSE14419d	NFkB	primary macrophages	BTO:0000801	treated with zymosan A	activating	3 h	1 replicate each, 4 donors	GSE14419	none	GPL571
GSE1541aNFkB	NFkB	A549 (Alveolar Epithelial Cells line)	BTO:0000018	treated with LPS	activating	1 h	NA	GSE1541	log	GPL201
GSE1541bNFkB	NFkB	A549 (Alveolar Epithelial Cells line)	BTO:0000018	treated with LPS	activating	4 h	NA	GSE1541	log	GPL201
GSE16193	NFkB	THP1 monocytic cell line	BTO:0001370	treated with  1 µg/ml LPS	activating	1 h	5 replicates each	GSE16193	non	GPL570
GSE18047a	NFkB	H929 (Multiple Myeloma Cell Line)	BTO:0002416	transfected with NIK	activating	undefined	overexpression directly above NFkB	GSE18047	nolog	GPL570
GSE18047b	NFkB	H929 (Multiple Myeloma Cell Line)	BTO:0002416	transfected with IKKB	activating	undefined	overexpression directly above NFkB	GSE18047	nolog	GPL570
GSE18047c	NFkB	SACHI (Multiple Myeloma Cell Line)	BTO:0002062	transfected with NIK	activating	undefined	overexpression directly above NFkB	GSE18047	nolog	GPL570
GSE18047d	NFkB	SACHI (Multiple Myeloma Cell Line)	BTO:0002062	transfected with IKKB	activating	undefined	overexpression directly above NFkB	GSE18047	nolog	GPL570
GSE19315	NFkB	THP1 monocytic cell line	BTO:0001370	treated with LPS	activating	6 h	3 replicates each	GSE19315	non	GPL570
GSE19627	NFkB	THP1 monocytes	BTO:0001370	treated with  LPS	activating	4 h	3 replicates each	GSE19627	log	GPL570
GSE19738a	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a2	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a3	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a4	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a6	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a7	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a8	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738a9	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738b	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738c	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738d	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738e	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738f	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738g	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738h	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738i	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738j	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738k	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738l	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738m	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738n	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738o	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738p	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738q	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738r	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738s	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738t	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738v	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738w	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738x	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738y	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE19738z	NFkB	whole blood cells	BTO:0000089	treated with LPS	activating	5-6 h	1 replicate each, 34 individuals	GSE19738	log	GPL6848
GSE20114a	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE20114	log	GPL570
GSE20114b	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE20114	log	GPL570
GSE20114c	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE20114	log	GPL570
GSE20114d	NFkB	primary blood cells	BTO:0000089	treated with LPS	activating	4 h	1 replicate each, 4 donors	GSE20114	log	GPL570
GSE22248a	NFkB	PBMCs	BTO:0001025	treated with LPS	activating	4 h	1 replicates each, 4 individuals	GSE22248	normalized	GPL6883
GSE22248b	NFkB	PBMCs	BTO:0001025	treated with LPS	activating	4 h	1 replicates each, 4 individuals	GSE22248	normalized	GPL6883
GSE22248c	NFkB	PBMCs	BTO:0001025	treated with LPS	activating	4 h	1 replicates each, 4 individuals	GSE22248	normalized	GPL6883
GSE22248d	NFkB	PBMCs	BTO:0001025	treated with LPS	activating	4 h	1 replicates each, 4 individuals	GSE22248	normalized	GPL6883
GSE23371	NFkB	dendritic cells	BTO:0002042	treated with LPS	activating	6 h	3 technical replicates each	GSE23371	log	GPL570
GSE2396	NFkB	human gammadelta T cells	BTO:0000782	treated with LPS	activating	4 h	4 cell cultures pooled	GSE2396	none	GPL571
GSE24897	NFkB	macrophages	BTO:0000801	treated with  PG-LPS	activating	2 h	3 replicates each	GSE24897	normalized	GPL570
GSE25155a	NFkB	HEK TLR2 transfected	BTO:0000007	treated with 10µg/ml H. pylori LPS	activating	2 h	2 replicates each, part of timeseries	GSE25155	log	GPL570
GSE2706	NFkB	Monocyte derived dendritic cells	BTO:0002900	treated with LPS	activating	2 h	3 replicates	GSE2706	log	GPL570
GSE29700	NFkB	BL-2 burkitt lymphoma cell line	BTO:0002748	treated with LPS	activating	6 h	3 replicates each	GSE29700	normalized	GPL570
GSE3037a	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037b	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037c	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037d	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037e	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037f	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037g	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3037h	NFkB	primary periphal blood neutrophils	BTO:0000130	treated with LPS	activating	1 h	1 replicate each, 8 individuals	GSE3037	none	GPL96
GSE3140a	NFkB	mononuclear cells from adult peripheral blood	BTO:0001025	treated with 5 µg/ml LPS	activating	4 h	3 replicates each, timemight not be exact but probably 4h or 2h	GSE3140	none	GPL201
GSE3140b	NFkB	mononuclear cells from cord blood	BTO:0004053	treated with 5 µg/ml LPS	activating	4 h	3 replicates each, timemight not be exact but probably 4h or 2h	GSE3140	none	GPL201
GSE32390aNFkB	NFkB	fibroblasts	BTO:0000452	treated with poly I:C	activating	4 h	1 replicate each, 3 individuals	GSE32390	normalized	GPL10558
GSE32390bNFkB	NFkB	fibroblasts	BTO:0000452	treated with poly I:C	activating	4 h	1 replicate each, 3 individuals	GSE32390	normalized	GPL10558
GSE32390cNFkB	NFkB	fibroblasts	BTO:0000452	treated with poly I:C	activating	4 h	1 replicate each, 3 individuals	GSE32390	normalized	GPL10558
GSE32390dNFkB	NFkB	PBMCs	BTO:0001025	treated with 10 ng/ml LPS	activating	2 h	1 replicate each	GSE32390	normalized	GPL10558
GSE32390e	NFkB	PBMCs	BTO:0001025	treated with 3 µg/ml R848	activating	2 h	1 replicate each, R848 is a relative specific TLR7/8 agonist	GSE32390	normalized	GPL10558
GSE3491a	NFkB	GENDER: MALE TISSUE: WHOLE BLOOD LPS RESPONSE: HIGH	BTO:0000089	treated with LPS 10 NG/ML	activating	4 h	three patients with high LPS response rate	GSE3491	nolog	GPL8300
GSE3491b	NFkB	GENDER: MALE TISSUE: WHOLE BLOOD LPS RESPONSE: HIGH	BTO:0000089	treated with LPS 10 NG/ML	activating	4 h	three patients with high LPS response rate	GSE3491	nolog	GPL8300
GSE3491c	NFkB	GENDER: FEMALE TISSUE: WHOLE BLOOD LPS RESPONSE: HIGH	BTO:0000089	treated with LPS 10 NG/ML	activating	4 h	three patients with high LPS response rate	GSE3491	nolog	GPL8300
GSE3720a	NFkB	expanded peripheral blood Vd1 gd T lymphocytes	BTO:0004729	treated with LPS 10 mg/mL	activating	4 h	3 week culture with Vd1 mab 0.1mg/mL, pan gd mAb 0.1 mg/mL, and IL-15 10ng/mL	GSE3720	log	GPL571
